"tipo_eleccion";"anno";"mes";"vuelta";"codigo_ccaa";"codigo_provincia";"codigo_distrito_electoral";"ambito_territorial";"poblacion_derecho";"n_diputados";"numero_mesas";"censo_ine";"censo_escrutinio";"censo_cere";"votantes_cere";"participacion_1";"participacion_2";"votos_blancos";"votos_nulos";"votos_candidaturas";"votos_afirmativos";"votos_negativos";"codigo_partido_nacional";"codigo_partido_autonomia";"codigo_partido_provincia";"codigo_partido";"denominacion";"siglas";"votos";"diputados";"datos_oficiales"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000098";"000098";"000098";"000098";"POR UN MUNDO MÁS JUSTO";"PUM+J";351;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000061";"000058";"000058";"000058";"PARTIDO COMUNISTA DEL PUEBLO ANDALUZ";"PCPA";159;0;"S"
"02";"2019";"11";"1";"01";"21";"9";"Huelva";519932;5;650;399014;399019;0;0;127137;197236;3345;4648;247336;0;0;"000064";"000064";"000064";"000064";"PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA";"PCTE";112;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000094";"000094";"000094";"000094";"PARTIDO SOCIALISTA OBRERO ESPAÑOL";"PSOE";141737;3;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000083";"000083";"000083";"000083";"PARTIDO POPULAR";"PP";82055;1;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000116";"000116";"000116";"000116";"VOX";"VOX";71950;1;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000078";"000081";"000081";"000081";"UNIDAS PODEMOS";"PODEMOS-IU LV CA";35962;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000018";"000018";"000018";"000018";"CIUDADANOS-PARTIDO DE LA CIUDADANÍA";"Cs";24816;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000055";"000055";"000055";"000055";"PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL";"PACMA";2766;0;"S"
"02";"2019";"11";"1";"01";"23";"9";"Jaén";638099;5;892;526661;526659;0;0;192220;289323;3361;5937;361745;0;0;"000009";"000009";"000009";"000009";"ANDALUCÍA POR SÍ";"AxSÍ";856;0;"S"
