;codigo_ccaa;codigo_provincia;ambito_territorial;poblacion_derecho;n_diputados;numero_mesas;censo_ine;censo_escrutinio;participacion_2;votos_blancos;votos_nulos;votos_candidaturas;denominacion;siglas;votos;diputados;porcentaje_participacion;porcentaje_votos_partido;porcentaje_votos_nulos;porcentaje_votos_blancos;porcentaje_diputados_obtenidos
137;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PARTIDO COMUNISTA OBRERO ESPAÑOL;PCOE;96;0;55.43;0.16;0.89;0.68;0.0
138;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;45;0;55.43;0.08;0.89;0.68;0.0
139;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;POR UN MUNDO MÁS JUSTO;PUM+J;35;0;55.43;0.06;0.89;0.68;0.0
140;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;UNIÓN DE TODOS;UDT;26;0;55.43;0.04;0.89;0.68;0.0
141;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;PUYALON;PYLN;25;0;55.43;0.04;0.89;0.68;0.0
142;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;AUNA COMUNITAT VALENCIANA;AUNACV;13;0;55.43;0.02;0.89;0.68;0.0
143;2;44;Teruel;134572;3;333;107466;107467;59567;403;531;73727;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;0;0;55.43;0.0;0.89;0.68;0.0
144;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;158326;3;56.79;37.7;1.04;1.19;42.86
145;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PARTIDO POPULAR;PP;119909;2;56.79;28.55;1.04;1.19;28.57
146;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;VOX;VOX;92353;1;56.79;21.99;1.04;1.19;14.29
147;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;UNIDAS PODEMOS;PODEMOS-IU;57875;1;56.79;13.78;1.04;1.19;14.29
148;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;CIUDADANOS-PARTIDO DE LA CIUDADANÍA;Cs;47001;0;56.79;11.19;1.04;1.19;0.0
149;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO;M PAÍS-CHA-;23196;0;56.79;5.52;1.04;1.19;0.0
150;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL;PACMA;3618;0;56.79;0.86;1.04;1.19;0.0
151;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;ESCAÑOS EN BLANCO;EB;1940;0;56.79;0.46;1.04;1.19;0.0
152;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;MOVIMIENTO ARAGONES SOCIAL;MAS;1068;0;56.79;0.25;1.04;1.19;0.0
153;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;RECORTES CERO-GRUPO VERDE;RECORTES CERO-GV;861;0;56.79;0.21;1.04;1.19;0.0
154;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PUYALON;PYLN;532;0;56.79;0.13;1.04;1.19;0.0
155;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;POR UN MUNDO MÁS JUSTO;PUM+J;485;0;56.79;0.12;1.04;1.19;0.0
156;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA;PCTE;414;0;56.79;0.1;1.04;1.19;0.0
157;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN;FIA;386;0;56.79;0.09;1.04;1.19;0.0
158;2;50;Zaragoza;954811;7;1435;739570;739573;419966;4989;4355;508295;PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA;PCPE;331;0;56.79;0.08;1.04;1.19;0.0
179;3;33;Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO SOCIALISTA OBRERO ESPAÑOL;PSOE;186211;3;46.97;40.77;1.2;1.54;42.86
180;3;33;Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;PARTIDO POPULAR-FORO;PP-FORO;129945;2;46.97;28.45;1.2;1.54;28.57
181;3;33;Asturias;1028244;7;1541;972579;972580;456786;7041;5486;552704;UNIDAS PODEMOS-XUNÍES PODEMOS;PODEMOS-IX;89301;1;46.97;19.55;1.2;1.54;14.29
